[ 2025-01-14 19:24:42,457 ] 20 root - INFO - Initiate the data ingestion
[ 2025-01-14 19:24:48,068 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-14 19:24:48,068 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-14 19:24:48,068 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-14 19:24:48,127 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-14 19:24:48,127 ] 22 root - INFO - Data Initiation Completed
[ 2025-01-14 19:24:48,148 ] 26 root - INFO - Initiate the data Validation
[ 2025-01-14 19:24:48,307 ] 32 root - INFO - Required number of columns:2
[ 2025-01-14 19:24:48,307 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-14 19:24:48,307 ] 32 root - INFO - Required number of columns:2
[ 2025-01-14 19:24:48,309 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-14 19:24:48,513 ] 28 root - INFO - data Validation Completed
[ 2025-01-14 19:24:48,514 ] 31 root - INFO - data Transformation started
[ 2025-01-14 19:24:48,515 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-14 19:24:48,515 ] 65 root - INFO - Starting data transformation
[ 2025-01-14 19:24:48,555 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-14 19:24:48,555 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-14 19:24:48,612 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 19:24:48,618 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 19:24:48,619 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 19:24:48,624 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 19:24:48,626 ] 35 root - INFO - data Transformation completed
[ 2025-01-14 19:24:48,626 ] 37 root - INFO - Model Training sstared
[ 2025-01-14 19:30:07,195 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 19:30:07,196 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 19:30:07,196 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_14_2025_19_24_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911916573858459, precision_score=0.9884894991922456, recall_score=0.9939086294416244), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9759615384615384, precision_score=0.9636075949367089, recall_score=0.9886363636363636))
[ 2025-01-14 19:30:07,201 ] 42 root - INFO - Model Training artifact created
