[ 2025-01-14 17:03:27,943 ] 20 root - INFO - Initiate the data ingestion
[ 2025-01-14 17:03:32,957 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-14 17:03:32,958 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-14 17:03:32,958 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-14 17:03:33,002 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-14 17:03:33,003 ] 22 root - INFO - Data Initiation Completed
[ 2025-01-14 17:03:33,024 ] 26 root - INFO - Initiate the data Validation
[ 2025-01-14 17:03:33,160 ] 32 root - INFO - Required number of columns:2
[ 2025-01-14 17:03:33,161 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-14 17:03:33,162 ] 32 root - INFO - Required number of columns:2
[ 2025-01-14 17:03:33,162 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-14 17:03:33,397 ] 28 root - INFO - data Validation Completed
[ 2025-01-14 17:03:33,398 ] 31 root - INFO - data Transformation started
[ 2025-01-14 17:03:33,398 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-14 17:03:33,398 ] 65 root - INFO - Starting data transformation
[ 2025-01-14 17:03:33,426 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-14 17:03:33,426 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-14 17:03:33,464 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 17:03:33,468 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 17:03:33,468 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 17:03:33,471 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 17:03:33,473 ] 35 root - INFO - data Transformation completed
[ 2025-01-14 17:03:33,473 ] 37 root - INFO - Model Training sstared
[ 2025-01-14 17:07:39,446 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 17:07:39,447 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 17:07:39,448 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_14_2025_17_03_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910277324632952, precision_score=0.9886086248982913, recall_score=0.9934587080948487), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9759558533701221, precision_score=0.9732704402515723, recall_score=0.9786561264822135))
[ 2025-01-14 17:07:39,448 ] 42 root - INFO - Model Training artifact created
